Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST-00001,216,1,41346.911250000005,3,1,4,314,8,Needs Attention
CUST-00002,114,9,84453.61,4,5,5,455,14,Champions
CUST-00003,716,1,734.84,1,1,1,111,3,Lost Customers
CUST-00004,201,6,56537.799999999996,3,4,4,344,11,Loyal Customers
CUST-00005,13,5,92276.10250000001,5,4,5,545,14,Champions
CUST-00006,102,2,6324.38,4,2,2,422,8,Potential Loyalists
CUST-00009,217,1,8651.91,3,1,2,312,6,Needs Attention
CUST-00013,1075,1,1303.73,1,1,1,111,3,Lost Customers
CUST-00016,358,2,22639.269999999997,2,2,3,223,7,Needs Attention
CUST-00019,36,3,27556.87,5,3,3,533,11,Loyal Customers
CUST-00021,68,5,50751.75,4,4,4,444,12,Champions
CUST-00022,72,14,134370.6225,4,5,5,455,14,Champions
CUST-00024,67,9,176551.95125,4,5,5,455,14,Champions
CUST-00025,1093,1,3784.27,1,1,1,111,3,Lost Customers
CUST-00027,84,5,61744.03,4,4,4,444,12,Champions
CUST-00028,216,2,76389.47125,3,2,5,325,10,Needs Attention
CUST-00029,127,3,29050.43,4,3,3,433,10,Loyal Customers
CUST-00030,114,2,58700.50125,4,2,4,424,10,Potential Loyalists
CUST-00031,146,1,1103.17,3,1,1,311,5,Needs Attention
CUST-00033,255,5,19066.82,3,4,3,343,10,Loyal Customers
CUST-00034,36,3,45635.369999999995,5,3,4,534,12,Loyal Customers
CUST-00035,403,1,33207.04,2,1,3,213,6,Needs Attention
CUST-00037,624,1,2216.98,2,1,1,211,4,Lost Customers
CUST-00038,45,3,16311.169999999998,4,3,2,432,9,Needs Attention
CUST-00040,76,2,5948.52,4,2,2,422,8,Potential Loyalists
CUST-00041,241,5,63517.271250000005,3,4,4,344,11,Loyal Customers
CUST-00042,642,1,5082.67,1,1,2,112,4,Lost Customers
CUST-00044,526,3,18132.489999999998,2,3,3,233,8,At Risk
CUST-00045,514,3,48794.33125,2,3,4,234,9,At Risk
CUST-00047,367,1,3001.01,2,1,1,211,4,Lost Customers
CUST-00049,305,2,40795.36,3,2,3,323,8,Needs Attention
CUST-00051,970,1,9728.49,1,1,2,112,4,Lost Customers
CUST-00052,262,6,97310.70250000001,3,4,5,345,12,Loyal Customers
CUST-00053,432,1,4878.43,2,1,2,212,5,Lost Customers
CUST-00054,567,6,75560.27125,2,4,4,244,10,At Risk
CUST-00055,703,1,17573.09,1,1,3,113,5,Needs Attention
CUST-00056,50,5,106163.99125,4,4,5,445,13,Champions
CUST-00060,66,5,46490.85,4,4,4,444,12,Champions
CUST-00062,766,1,5514.41,1,1,2,112,4,Lost Customers
CUST-00063,398,6,67587.34125,2,4,4,244,10,At Risk
CUST-00066,60,2,10118.07,4,2,2,422,8,Potential Loyalists
CUST-00067,428,5,72015.88,2,4,4,244,10,At Risk
CUST-00069,4,11,122918.16,5,5,5,555,15,Champions
CUST-00070,774,1,764.2,1,1,1,111,3,Lost Customers
CUST-00071,44,3,43783.69,4,3,4,434,11,Loyal Customers
CUST-00072,45,5,42652.83,4,4,4,444,12,Champions
CUST-00073,76,2,41820.021250000005,4,2,4,424,10,Potential Loyalists
CUST-00074,748,1,3420.18,1,1,1,111,3,Lost Customers
CUST-00075,382,2,7382.48,2,2,2,222,6,Lost Customers
CUST-00077,4,1,9427.96,5,1,2,512,8,Potential Loyalists
CUST-00079,794,1,27419.41,1,1,3,113,5,Needs Attention
CUST-00082,81,1,4059.28,4,1,1,411,6,Potential Loyalists
CUST-00083,136,4,83139.23125,3,4,5,345,12,Loyal Customers
CUST-00084,4,20,196436.92,5,5,5,555,15,Champions
CUST-00085,90,2,44474.021250000005,4,2,4,424,10,Potential Loyalists
CUST-00088,446,3,14248.119999999999,2,3,2,232,7,Needs Attention
CUST-00089,587,3,53142.771250000005,2,3,4,234,9,At Risk
CUST-00092,260,3,43352.850000000006,3,3,4,334,10,Loyal Customers
CUST-00093,36,4,34695.15,5,4,3,543,12,Loyal Customers
CUST-00094,204,2,6571.1900000000005,3,2,2,322,7,Needs Attention
